hedera_id;amount_to_distribute
0.0.4870694;189864.645292
0.0.8160892;2.069366
0.0.8180616;8438850.0
0.0.6050;-0.353058
0.0.3927125;285000.0
0.0.4591759;530099.8097150001
0.0.1468174;3132980.327569
0.0.663924;115531.070008
0.0.643909;57000.0
0.0.864216;386528.15433
0.0.1285385;692572.312859
0.0.4912708;12896.850704000002
0.0.1404401;380000.0
0.0.3968150;3787690.884732
0.0.1475262;949999.999905
0.0.4211429;-0.02831
0.0.1704972;218768.36251700003
0.0.4324445;70.64722499999999
0.0.1085174;959998.003528
0.0.4366157;95210.938
0.0.1786185;123500.0
0.0.939841;27360.170069
0.0.982545;12350.0
0.0.1071561;296.697654
0.0.7848161;147187.177355
0.0.4318142;28910.011374
0.0.725455;5700000.0
0.0.1035628;190468.63234
0.0.7948676;90017.720478
0.0.792532;950000.0
0.0.1314552;941273.878493
0.0.7770246;96321.835206
0.0.3041089;812249.62779
0.0.1360162;404014.799086
0.0.2189289;3044.75
0.0.4340074;8987.314222
0.0.662983;2982260.938551
0.0.3965809;81191.134267
0.0.4695025;3817.431702
0.0.2773436;631.585061
0.0.3167151;35195.850591
0.0.1425321;57000.000171
0.0.7155902;2105721.955707
0.0.793318;633857.617199
0.0.4046889;5351.172464
0.0.4561175;1901900.0
0.0.476700;190000.0
0.0.2103926;27802.694091
0.0.2061956;25701.071829
0.0.4350595;19000.000171
0.0.1484720;950000.0
0.0.1269004;19000000.0
0.0.1708350;1988840.450135
0.0.790788;50079.636194
0.0.4193066;4750.000019
0.0.4337846;8600.073645
0.0.3944724;2859.481057
0.0.6194066;213525.888046
0.0.4308701;194943.748909
0.0.4615491;6234.788801000001
0.0.3441589;81887.591294
0.0.7577418;956.585438
0.0.1094369;76666.93837999999
0.0.3215432;190000.471504
0.0.1478185;190000.0
0.0.848305;4750.0
0.0.833323;108112.263318
0.0.616721;1900000.0
0.0.8147681;19000.0
0.0.779779;3800000.000057
0.0.499534;2372877.226501
0.0.961733;57329.75222
0.0.4253136;30412.826254
0.0.484985;2850000.0
0.0.4843176;108474.231159
0.0.837878;155874.92942600002
0.0.1111866;-98.865417
0.0.6447830;2381793.752233
0.0.4355306;138468.188638
0.0.3802249;7410.0