hedera_id;HBAR_VALUE_HBAR;HBARX_VALUE_HBAR;HSUITE_VALUE_HBAR;SAUCE_VALUE_HBAR;XSAUCE_VALUE_HBAR;PACK_VALUE_HBAR;USDC_VALUE_HBAR;NEBULA_GENESIS_VALUE_HBAR;COSMIC_CYPHERS_VALUE_HBAR;TOTAL_LOSS_HBAR
0.0.6050;0.0;0.0;-0.0057139650000000005;0.0;0.0;0.0;0.0;79000.0;0.0;78999.994286035
0.0.40216;270.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;270.0
0.0.326826;29.62774269;0.0;0.0;27.000002700000003;0.0;0.0;883.8927335000001;0.0;0.0;940.52047889
0.0.445590;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98750.0;74840.0;173590.0
0.0.454804;0.0;0.0;0.0;-0.02222451;302.335340265;0.0;0.0;0.0;0.0;302.313115755
0.0.458059;122032.0;0.0;0.0;0.0;0.0;0.0;0.0;98750.0;239488.0;460270.0
0.0.476700;0.0;0.0;3075.0;0.0;0.0;0.0;0.0;0.0;0.0;3075.0
0.0.484985;0.0;0.0;46125.0;0.0;0.0;0.0;0.0;0.0;0.0;46125.0
0.0.499534;0.0;0.0;38403.1445867925;0.0;31500.0;0.0;0.0;0.0;0.0;69903.1445867925
0.0.502561;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39500.0;18710.0;58210.0
0.0.509518;500.02499295;66000.0;0.0;0.0;82.28619441000001;0.0;-104.120828;19750.0;1871.0;88099.19035936
0.0.512044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98750.0;76711.0;175461.0
0.0.568040;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;1871.0
0.0.586040;7328.0;0.0;0.0;1350.0677597400002;0.0;0.0;0.0;0.0;0.0;8678.06775974
0.0.616721;0.0;0.0;30750.0;0.0;0.0;0.0;0.0;0.0;0.0;30750.0
0.0.634576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59250.0;127228.0;186478.0
0.0.643909;5000.0;0.0;922.5;0.0;0.0;0.0;0.0;0.0;0.0;5922.5
0.0.662983;0.0;0.0;48265.5388739175;0.0;0.0;0.0;-13513.359321;0.0;0.0;34752.1795529175
0.0.663924;0.0;0.0;1869.7791593400002;0.0;0.0;0.0;0.0;0.0;0.0;1869.77915934
0.0.681999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3742.0;3742.0
0.0.683607;0.0;0.0;0.0;-15851.7;63000.0;0.0;0.0;0.0;0.0;47148.3
0.0.692663;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10000.0
0.0.699534;7000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3742.0;10742.0
0.0.725455;644000.0;0.0;92250.0;0.0;94500.0;0.0;0.0;98750.0;129099.0;1158599.0
0.0.748039;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;1871.0
0.0.767006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98750.0;0.0;98750.0
0.0.779779;0.0;0.0;61500.000000922504;0.0;189000.0;0.0;0.0;0.0;0.0;250500.0000009225
0.0.790788;46400.0;0.0;810.4993752449999;-0.2079621;22456.447959959998;3627.3423098499998;0.0;0.0;0.0;73294.081682955
0.0.792532;200000.0;0.0;15375.0;0.0;0.0;0.0;0.0;0.0;7484.0;222859.0
0.0.792890;272.51115116;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;272.51115116
0.0.793318;0.0;0.0;10258.4851204575;0.0;0.0;0.0;0.0;0.0;0.0;10258.4851204575
0.0.813507;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39500.0;1871.0;41371.0
0.0.832190;-0.15228957;0.0;0.0;0.0;23581.957580055;0.0;0.0;0.0;0.0;23581.805290485
0.0.832543;-442.30200596;1389.6216667872002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;947.3196608272002
0.0.833323;14700.0;0.0;1749.711630015;0.0;0.0;0.0;0.0;0.0;0.0;16449.711630015
0.0.835588;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19750.0;0.0;19750.0
0.0.836658;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16839.0;16839.0
0.0.836888;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19750.0;0.0;19750.0
0.0.837878;0.0;0.0;2522.712673605;0.0;0.0;0.0;0.0;0.0;0.0;2522.712673605
0.0.845476;0.0;16964.7196555584;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16964.7196555584
0.0.848305;0.0;0.0;76.875;0.0;0.0;0.0;0.0;0.0;0.0;76.875
0.0.864216;8134.40700349;0.0;6255.6530240249995;1.29942927;0.0;0.0;-7000.0;0.0;0.0;7391.359456785
0.0.891499;5000.0;0.0;0.0;1350.0;0.0;0.0;0.0;0.0;0.0;6350.0
0.0.904237;0.0;66000.7231992108;0.0;0.0;0.0;0.0;0.0;0.0;0.0;66000.7231992108
0.0.939841;2000.0;0.0;442.8027524325;0.0;31535.16140817;12098.106280777998;0.0;39500.0;0.0;85576.07044138049
0.0.946633;2670.0;0.0;0.0;0.0;0.0;0.0;-700.0;0.0;0.0;1970.0
0.0.961733;0.0;0.0;927.83677935;0.0;0.0;0.0;0.0;19750.0;0.0;20677.83677935
0.0.965330;172.84809598;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;2043.84809598
0.0.973559;-200000.0;0.0;0.0;0.0;362250.0;0.0;0.0;98750.0;37420.0;298420.0
0.0.973889;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79000.0;74840.0;153840.0
0.0.975200;500.0;0.0;0.0;0.0;0.0;0.0;0.0;19750.0;0.0;20250.0
0.0.982545;400.0;0.0;199.875;0.0;0.0;0.0;0.0;0.0;0.0;599.875
0.0.1018824;0.0;0.0;0.0;0.0;76.56747493499999;0.0;418.906481;0.0;0.0;495.473955935
0.0.1035628;0.0;0.0;3082.5844444500003;0.0;0.0;0.0;0.0;0.0;3742.0;6824.58444445
0.0.1036366;0.0;13126.147458547202;0.0;2214.0;0.0;0.0;0.0;0.0;0.0;15340.147458547202
0.0.1068842;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98750.0;0.0;98750.0
0.0.1071561;0.0;0.0;4.801817295;0.0;0.0;0.0;0.0;0.0;0.0;4.801817295
0.0.1080907;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10000.0
0.0.1085174;-3975.6950076;0.0;15536.809793940001;0.0;0.0;0.0;0.0;0.0;0.0;11561.114786340002
0.0.1094369;0.0;0.0;1240.79387115;0.0;6749.106262605;0.0;0.0;0.0;0.0;7989.900133755
0.0.1097012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19750.0;1871.0;21621.0
0.0.1097345;2500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2500.0
0.0.1097530;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;1871.0
0.0.1116944;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19750.0;0.0;19750.0
0.0.1116974;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39500.0;0.0;39500.0
0.0.1117018;30000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30000.0
0.0.1120183;8000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8000.0
0.0.1137113;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0
0.0.1200616;0.0;0.0;0.0;13500.3051;0.0;0.0;0.0;0.0;0.0;13500.3051
0.0.1269004;0.0;0.0;307500.0;0.0;0.0;0.0;-108293.5590485;0.0;0.0;199206.4409515
0.0.1285385;1600.0;0.0;11208.7361160075;-0.00035343000000000006;568.86463494;-0.0032467959999999997;-0.0089635;0.0;0.0;13377.5881872215
0.0.1295194;0.0;1320.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1320.0
0.0.1314552;120000.0;0.0;15233.774612452502;-2.02416246;21520.62513153;0.0;0.0;19750.0;0.0;176502.3755815225
0.0.1337958;663742.75333997;0.0;0.0;0.0;2484.816983775;0.0;0.0;0.0;0.0;666227.570323745
0.0.1348095;0.0;0.0;0.0;0.0;0.0;0.0;474.93243700000005;19750.0;207681.0;227905.932437
0.0.1357174;100003.68891372;0.0;0.0;0.0;0.0;0.0;0.0;39500.0;0.0;139503.68891372002
0.0.1360162;10.0;0.0;6538.6605641549995;0.0;12.6;1.428;863.6887735;0.0;0.0;7426.377337655
0.0.1380166;100.0;660.0;0.0;0.0;0.0;0.0;-140.0;0.0;0.0;620.0
0.0.1404401;5000.0;0.0;6150.0;0.0;0.0;0.0;0.0;0.0;0.0;11150.0
0.0.1421971;3222.0;0.0;0.0;796.55722299;-1728.95015664;1027.6699854889998;198.018891;0.0;0.0;3515.295942839
0.0.1425321;0.0;0.0;922.5000027675;0.0;895.7097349200001;0.0;0.0;0.0;0.0;1818.2097376875
0.0.1433899;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13097.0;13097.0
0.0.1453734;0.0;0.0;0.0;-216.0;625.083942735;0.0;0.0;0.0;0.0;409.0839427350001
0.0.1468174;0.0;0.0;50704.8131961825;0.0;0.0;0.0;0.0;79000.0;41162.0;170866.81319618248
0.0.1470278;0.0;0.0;0.0;135.0;0.0;0.0;0.0;0.0;3742.0;3877.0
0.0.1475262;520.69596963;0.0;15374.9999984625;0.0;0.0;0.0;-1750.0;0.0;0.0;14145.6959680925
0.0.1477725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;1871.0
0.0.1478185;0.0;0.0;3075.0;0.0;0.0;0.0;0.0;19750.0;0.0;22825.0
0.0.1484720;0.0;0.0;15375.0;0.0;0.0;0.0;-5260.6386035;0.0;0.0;10114.3613965
0.0.1524739;58897.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58897.0
0.0.1704972;0.0;25740.0;3540.5932354725005;0.0;2992.5;0.0;0.0;0.0;20581.0;52854.0932354725
0.0.1708350;0.0;0.0;32187.812548237504;0.0;1711.9164837600001;0.0;0.0;19750.0;37420.0;91069.7290319975
0.0.1742940;1500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1500.0
0.0.1786185;0.0;0.0;1998.75;0.0;0.0;0.0;0.0;0.0;0.0;1998.75
0.0.1790948;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;1871.0
0.0.1911303;0.03678078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03678078
0.0.2061956;0.0;0.0;415.9515572325;0.0;357.69942558;0.0;0.0;0.0;0.0;773.6509828125
0.0.2103926;-0.0134279;0.0;449.96465436750003;0.0;865.172425005;0.0;0.0;0.0;0.0;1315.1236514725
0.0.2175236;0.00034169;191.6169699312;0.0;0.0;63.0;0.0;0.0;0.0;0.0;254.6173116212
0.0.2175494;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3742.0;3742.0
0.0.2187119;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;1871.0
0.0.2189289;41.83856046;0.0;49.276875000000004;0.0;0.0;0.0;0.0;0.0;0.0;91.11543546
0.0.2773436;0.0;0.0;10.2217055925;0.0;0.0;334.488802844;0.0;0.0;0.0;344.7105084365
0.0.3041089;-16385.6048287;0.0;13145.618976075;0.0;24414.449900085;0.0;0.0;0.0;0.0;21174.46404746
0.0.3048854;51919.7604706;0.0;0.0;0.0;0.0;0.000194446;0.0;0.0;0.0;51919.760665046
0.0.3096877;0.0;0.0;0.0;0.0;4725.0;0.0;0.0;0.0;3742.0;8467.0
0.0.3101147;4813.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4813.0
0.0.3161254;500000.0;0.0;0.0;0.0;0.0;0.0;175000.0;0.0;0.0;675000.0
0.0.3167151;305.64272405;0.0;569.6170556175;0.0;787.63651344;0.0;0.0;0.0;0.0;1662.8962931075
0.0.3168883;1042517.36976835;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1042517.36976835
0.0.3169359;2604.58902309;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2604.58902309
0.0.3215432;0.0;0.0;3075.0076309200003;0.0;0.0;0.0;0.0;0.0;0.0;3075.0076309200003
0.0.3274648;2090.0;0.0;0.0;0.55277208;247.9948758;0.0;0.0;0.0;0.0;2338.54764788
0.0.3304005;323.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;323.0
0.0.3441589;0.0;0.0;1325.286016995;0.0;0.0;0.0;0.0;0.0;0.0;1325.286016995
0.0.3473654;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;1871.0
0.0.3687967;18418.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18418.0
0.0.3760539;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79000.0;37420.0;116420.0
0.0.3802249;0.0;-0.0016783800000000001;119.925;0.0;192.15;0.0;245.0;0.0;0.0;557.07332162
0.0.3826476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7484.0;7484.0
0.0.3836035;0.0;0.0;0.0;0.0;314.59768389;0.0;-140.0;0.0;0.0;174.59768388999998
0.0.3922437;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98750.0;0.0;98750.0
0.0.3927125;-3500.0;6600.0;4612.5;675.0;1260.0;595.0;-1750.0;19750.0;1871.0;30113.5
0.0.3944724;900.0;0.0;46.2784434225;1.3495580100000002;0.0;0.0;0.0;0.0;0.0;947.6280014325
0.0.3963486;2462.09001067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2462.09001067
0.0.3965045;46000.0;148046.00650414082;0.0;0.0;0.0;0.0;-113750.0;0.0;1871.0;82167.00650414082
0.0.3965809;9950.0;0.0;1314.0144098475;0.0;2463.3;0.5409668599999999;0.0;0.0;0.0;13727.8553767075
0.0.3968150;0.0;0.0;61300.78668711;0.0;0.0;0.0;0.0;0.0;0.0;61300.78668711
0.0.3971395;0.0;0.0;0.0;0.0;0.0;0.677172475;0.0;0.0;0.0;0.677172475
0.0.4046889;53.12726432;0.0;86.60450172;83.64604914;0.0;0.0;0.0;0.0;0.0;223.37781518
0.0.4091984;3260.0;5816.2101460056;0.0;0.0;0.0;0.0;-3500.0;0.0;0.0;5576.2101460056
0.0.4178198;0.0;0.0;0.0;0.0;2205.12348126;0.0;-0.006461;0.0;0.0;2205.11702026
0.0.4193066;150.0;0.0;76.8750003075;0.0;0.0;0.0;0.0;0.0;0.0;226.8750003075
0.0.4209855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;1871.0
0.0.4253136;0.0;0.0;492.207582795;0.0;3410.282534085;0.0;0.0;0.0;0.0;3902.49011688
0.0.4273349;0.0;0.0;0.0;-80.96918679000001;24820.85379501;0.0;0.0;0.0;0.0;24739.88460822
0.0.4275917;480.0;0.0;0.0;0.0;0.0;1.9347110439999997;0.0;0.0;0.0;481.934711044
0.0.4279368;0.0;0.0;0.0;5220.303109740001;0.0;0.0;0.0;0.0;0.0;5220.303109740001
0.0.4308701;190000.0;-396.0;3155.0106731325;54142.19456013;0.0;0.0;0.0;0.0;0.0;246901.2052332625
0.0.4312340;0.0;0.0;0.0;0.0;0.0;4180.328350968;0.0;0.0;0.0;4180.328350968
0.0.4315388;0.0;0.0;0.0;0.0;0.0;0.0;417.8448995;0.0;0.0;417.8448995
